case,layer,band,input_high_ratio,output_high_ratio,high_ratio_delta,input_boundary_energy_ratio,output_boundary_energy_ratio,boundary_energy_delta
ESO_TJ_60015786597,f0,3,6.429572213655675e-06,0.02292446637219282,0.022918036799979162,0.706599187569753,0.764523934541838,0.05792474697208494
ESO_TJ_60015786597,f1,1,0.9529408333746789,0.9222765030507508,-0.030664330323928124,0.9270636609279568,0.8108070619813239,-0.11625659894663287
ESO_TJ_60015786597,f1,2,0.017449091433173507,0.09646959676362331,0.0790205053304498,0.9396319639678568,0.8732452481370221,-0.06638671583083466
ESO_TJ_60015786597,f1,3,1.828780309499859e-05,0.012526928606655573,0.012508640803560574,0.9017353651108283,0.7850686140385008,-0.11666675107232749
ESO_TJ_60016089044,f0,1,0.8379771713806974,0.8063462231536038,-0.03163094822709356,0.6695310636068026,0.783803321604633,0.11427225799783036
ESO_TJ_60016089044,f0,2,0.007161389113913403,0.05475405729218062,0.04759266817826722,0.5489297687217647,0.6510629000057512,0.10213313128398649
ESO_TJ_60016089044,f0,3,5.894978495421869e-06,0.02246759443188763,0.022461699453392207,0.5943151554970287,0.6849982263681966,0.09068307087116789
ESO_TJ_60016089044,f1,1,0.9556639099501228,0.920152923743025,-0.035510986207097806,0.8951293620452706,0.8188315395177808,-0.07629782252748984
ESO_TJ_60016089044,f1,2,0.020209514725656,0.10138091220217466,0.08117139747651866,0.9163945355612206,0.8590152006482782,-0.05737933491294245
ESO_TJ_60016089044,f1,3,2.2004118913660607e-05,0.0177546449457671,0.01773264082685344,0.8617175858682087,0.8272202384596694,-0.03449734740853927
ESO_TJ_60016118012,f0,1,0.8613970272734486,0.814406139985174,-0.04699088728827461,0.6994595447766899,0.7792478943560026,0.07978834957931269
ESO_TJ_60016118012,f0,2,0.008474895514196333,0.05924490291490118,0.05077000740070484,0.6569854086035907,0.7038781151452914,0.046892706541700746
ESO_TJ_60016118012,f0,3,6.25074230395996e-06,0.025476304098997236,0.025470053356693275,0.6670404610125307,0.7235885910924035,0.056548130079872805
ESO_TJ_60016118012,f1,1,0.9591949404245914,0.9244831011371495,-0.034711839287441926,0.9128488444440274,0.805149640802639,-0.10769920364138841
ESO_TJ_60016118012,f1,2,0.020637273710632096,0.08800439564931259,0.0673671219386805,0.9365148872888336,0.8606903064433473,-0.07582458084548627
ESO_TJ_60016118012,f1,3,2.159429147745597e-05,0.01317162350377827,0.013150029212300813,0.8706850135527062,0.7378559562282195,-0.1328290573244867
ESO_TJ_60016195217,f0,1,0.8357233519184829,0.8074350115022388,-0.028288340416244062,0.6920869599206322,0.7936184989399854,0.10153153901935319
ESO_TJ_60016195217,f0,2,0.006757203149754078,0.060711469886622293,0.05395426673686821,0.660585440957463,0.7324340063620269,0.07184856540456397
ESO_TJ_60016195217,f0,3,6.069899455973505e-06,0.019565986660221378,0.019559916760765406,0.6705427956913472,0.7369856414613757,0.06644284577002846
ESO_TJ_60016195217,f1,1,0.9526941832887292,0.9125487740917461,-0.04014540919698317,0.9076419250745658,0.8021485785388501,-0.10549334653571563
ESO_TJ_60016195217,f1,2,0.018362917278190612,0.10169414935574936,0.08333123207755874,0.9449695988427721,0.8790334604672786,-0.0659361383754935
ESO_TJ_60016195217,f1,3,1.7862307541127323e-05,0.01272553737377086,0.012707675066229733,0.8911272764440732,0.7922604344039123,-0.09886684204016094
ESO_TJ_60016836064,f0,1,0.8556233126485133,0.816850303699975,-0.0387730089485383,0.6946142041067133,0.8407258109745388,0.14611160686782554
ESO_TJ_60016836064,f0,2,0.007320561404559356,0.05458544247122323,0.04726488106666388,0.5856334384599431,0.6818620440373716,0.09622860557742852
ESO_TJ_60016836064,f0,3,5.928428392795504e-06,0.02040573185588395,0.020399803427491155,0.622105963256843,0.7172109886219245,0.09510502536508147
ESO_TJ_60016836064,f1,1,0.9571672181794564,0.9280937380174592,-0.02907348016199718,0.8664461060335336,0.8183608854443449,-0.048085220589188626
ESO_TJ_60016836064,f1,2,0.024377113859518136,0.09091165400133916,0.06653454014182103,0.9043669077245827,0.8731273538765771,-0.031239553848005586
