subset_id,model,label,Dice,IoU,Sensitivity,Precision,Specificity,D95,ASSD
4,UNet3D,1,0.8450222180039466,0.7504386971004119,0.8629678234163372,0.8367802122215228,0.9979085474657371,8.248711905652643,2.009947367488143
5,BANet,1,0.8330710874896818,0.7437130097614905,0.8643603329600111,0.8267817778321142,0.997079614276313,11.096723441977733,3.5712842602100165
5,BGHNetV4,1,0.8255886956892571,0.7362210531162036,0.8755162300219077,0.8114440054627658,0.9947543141630029,12.213370567346278,3.4754591526656013
5,MedNeXt,1,0.811188238122516,0.716164830570081,0.880548478906932,0.7773644997262178,0.9942192912529768,16.691140098210845,4.284553739322263
5,nnUNet,1,0.8287237197265409,0.7351846803779913,0.8577166734034704,0.8254438105763857,0.9970798145740275,12.054146923894255,3.1576466316490395
5,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
5,RWKV_fd,1,0.7734258557430382,0.6665008221783489,0.8753070221308594,0.7274777173540411,0.991090463394606,22.984130870867716,5.690135512758566
5,RWKV_fd_loss,1,0.783534093164912,0.6784649463705149,0.8653133661899981,0.7441018940842612,0.992573991012059,20.021261699850108,4.763920688928846
5,UNet3D,1,0.8350574879928263,0.742405616207113,0.869007531082652,0.8262071523172356,0.9974279998070212,8.295696436378032,2.26453916069607
6,BANet,1,0.8283737614197395,0.7334677439962436,0.8600431136326439,0.8222889247621776,0.9973175306030461,12.525439485170233,3.5937075234511253
6,BGHNetV4,1,0.7967978585171213,0.7013651628656361,0.8841036427024894,0.766154810915333,0.9935855442162917,16.197338672581715,4.477571315212554
6,MedNeXt,1,0.8027068450925754,0.708022142561132,0.8763713814710652,0.7693934995462273,0.9946829738495537,17.31140741857441,4.883183757239271
6,nnUNet,1,0.838059270127492,0.7447493865379049,0.8580501510913301,0.8392472154049297,0.9976929681811073,11.448616250292362,2.802070655898607
6,RWKV_med,1,0.0,0.0,0.0,nan,1.0,nan,nan
6,RWKV_fd,1,0.7486382141862651,0.6375075497124462,0.8518613949583923,0.707475581268356,0.9923257956476557,26.64006770164981,6.678204771845266
6,RWKV_fd_loss,1,0.7593261915288656,0.6513028386802867,0.8636866625094524,0.7169295413563281,0.9927291114461558,21.246212067682684,6.160927168424269
6,UNet3D,1,0.8293017399955632,0.7323723849878453,0.8477073771911886,0.8298547402696175,0.9979129718967332,8.02415686084799,2.1107238623141478
7,BANet,1,0.8474174057680506,0.7571576824378734,0.8599050848418095,0.846017134047681,0.9980967024954033,10.946234245827437,3.2717638351044314
7,BGHNetV4,1,0.8084686916128897,0.7157496543333517,0.8745320242589056,0.789272290811547,0.9946583255284349,14.204084486484609,4.014913674659331
