model,case_id,label,Accuracy,Avg. Symmetric Surface Distance,Dice,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Hausdorff Distance 95,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
MedNeXt,ESO_TJ_60010382966,0,0.9935817718505859,0.23527709879338804,0.9966859632570333,0.0030351868890959866,0.003592730652520193,0.1089839316647751,0.09360758339916142,1.0,0.9933938196385154,0.8910160683352248,0.996964813110904,0.9964072693474798,2031324.0,2030188.0,0.9063924166008386
MedNeXt,ESO_TJ_60010382966,1,0.9935817718505859,2.2617303403887417,0.8986384721971203,0.10898393166477516,0.09360758339916142,0.0030351868890959852,0.003592730652520193,16.30950643030009,0.8159341410715751,0.996964813110904,0.8910160683352248,0.9063924166008386,65828.0,66964.0,0.9964072693474798
MedNeXt,ESO_TJ_60010480766,0,0.9972991943359375,0.05339453666300688,0.9986247680631519,0.001337890416334031,0.0014125706649522618,0.07667369530838165,0.07291060181019426,0.0,0.9972533134573578,0.9233263046916184,0.998662109583666,0.9985874293350477,2059366.0,2059212.0,0.9270893981898057
MedNeXt,ESO_TJ_60010480766,1,0.9972991943359375,0.7306972109412553,0.9252040250376357,0.07667369530838164,0.07291060181019426,0.0013378904163340152,0.0014125706649522618,2.0,0.8608182823442684,0.998662109583666,0.9233263046916184,0.9270893981898057,37786.0,37940.0,0.9985874293350477
MedNeXt,ESO_TJ_60010624985,0,0.9951634407043457,0.07682586528749935,0.9975248702588381,0.0029969913017010574,0.0019527215782326746,0.08491166978087311,0.12477407038849742,0.0,0.9950619628004118,0.9150883302191268,0.9970030086982989,0.9980472784217673,2047911.0,2050056.0,0.8752259296115026
MedNeXt,ESO_TJ_60010624985,1,0.9951634407043457,0.973226312566291,0.8947133500108992,0.08491166978087306,0.12477407038849742,0.0029969913017010266,0.0019527215782326746,4.242640687119285,0.8094853493613824,0.9970030086982989,0.9150883302191269,0.8752259296115026,49241.0,47096.0,0.9980472784217673
MedNeXt,ESO_TJ_60011065111,0,0.9956188201904297,0.08781959431219075,0.9977683223214888,0.0017108415347609762,0.0027519706352886475,0.1428247448658183,0.0937741428457256,0.0,0.995546583233768,0.8571752551341817,0.998289158465239,0.9972480293647114,2059615.0,2057467.0,0.9062258571542744
MedNeXt,ESO_TJ_60011065111,1,0.9956188201904297,1.2012731774435754,0.8810183626427702,0.1428247448658183,0.0937741428457256,0.0017108415347609463,0.0027519706352886475,4.123105625617661,0.787339428306909,0.998289158465239,0.8571752551341817,0.9062258571542744,37537.0,39685.0,0.9972480293647114
MedNeXt,ESO_TJ_60011080900,0,0.9971590042114258,0.055656497936035616,0.9985615526539813,0.0014292860716071942,0.0014476084523337152,0.11447991446464029,0.11319311663479925,0.0,0.9971272376253759,0.8855200855353598,0.9985707139283928,0.9985523915476663,2071002.0,2070964.0,0.8868068833652007
MedNeXt,ESO_TJ_60011080900,1,0.9971590042114258,0.756495733094221,0.8861630173105582,0.11447991446464034,0.11319311663479925,0.0014292860716072322,0.0014476084523337152,2.8284271247461903,0.7955948950185261,0.9985707139283928,0.8855200855353597,0.8868068833652007,26150.0,26188.0,0.9985523915476663
MedNeXt,ESO_TJ_60011421532,0,0.9871726036071777,0.21508352718424067,0.9933591403837879,0.0013049775786089235,0.011920026990964172,0.2939993701397805,0.04315849954855122,1.0,0.9868059009272802,0.7060006298602195,0.9986950224213911,0.9880799730090358,2036237.0,2014594.0,0.9568415004514488
MedNeXt,ESO_TJ_60011421532,1,0.9871726036071777,1.5508542741357456,0.8125013068661002,0.2939993701397805,0.04315849954855122,0.001304977578608891,0.011920026990964172,7.874007874011811,0.6842123798232125,0.9986950224213911,0.7060006298602195,0.9568415004514488,60915.0,82558.0,0.9880799730090358
MedNeXt,ESO_TJ_60011620755,0,0.996452808380127,0.059117873687164015,0.9981748820690198,0.0008693512429512884,0.002779057796950868,0.09270494350051511,0.030915950534479153,0.0,0.996356414111977,0.9072950564994848,0.9991306487570487,0.9972209422030491,2039900.0,2036001.0,0.9690840494655208
MedNeXt,ESO_TJ_60011620755,1,0.996452808380127,0.9643786340177345,0.9371722000287155,0.09270494350051517,0.030915950534479153,0.0008693512429512559,0.002779057796950868,3.0,0.8817723812399676,0.9991306487570487,0.9072950564994848,0.9690840494655208,57252.0,61151.0,0.9972209422030491
MedNeXt,ESO_TJ_60011728996,0,0.9935827255249023,0.11644457553726749,0.996705324067047,0.0020359739387492137,0.004550206800908785,0.16227198214223432,0.07957463115539376,1.0,0.9934322866212975,0.8377280178577657,0.9979640260612508,0.9954497931990912,2044962.0,2039810.0,0.9204253688446062
MedNeXt,ESO_TJ_60011728996,1,0.9935827255249023,1.303167812484304,0.8771317971003908,0.16227198214223426,0.07957463115539376,0.0020359739387491972,0.004550206800908785,4.242640687119285,0.7811529392633547,0.9979640260612508,0.8377280178577657,0.9204253688446062,52190.0,57342.0,0.9954497931990912
MedNeXt,ESO_TJ_60011847427,0,0.996734619140625,0.07849231652005006,0.9983471098317518,0.0005050397652363037,0.002798107142960471,0.20719080262782064,0.04494623655913976,0.0,0.99669967473868,0.7928091973721794,0.9994949602347637,0.9972018928570395,2073902.0,2069144.0,0.9550537634408602
MedNeXt,ESO_TJ_60011847427,1,0.996734619140625,1.2810244509345128,0.8664013422295056,0.20719080262782064,0.04494623655913976,0.0005050397652362523,0.002798107142960471,7.0,0.7642928441124841,0.9994949602347637,0.7928091973721794,0.9550537634408602,23250.0,28008.0,0.9972018928570395
MedNeXt,ESO_TJ_60011862918,0,0.9960126876831055,0.11155763242813241,0.9979485584219258,0.0011609508010266278,0.0029403459784224095,0.09850550172442109,0.04128824926645247,0.0,0.995905516437672,0.9014944982755789,0.9988390491989734,0.9970596540215776,2039896.0,2036262.0,0.9587117507335475
